,STATION,ENTRIES
240,HEWES ST,2147407029
13,14 ST,2128673609
180,CHAMBERS ST,2116142103
193,COURT SQ,2066596158
140,BAYCHESTER AV,2064097962
54,3 AV 138 ST,2046134325
175,CARROLL ST,2043343522
68,42 ST-PORT AUTH,2034071439
46,23 ST,2000363426
199,DEKALB AV,1999537633
269,LAFAYETTE AV,1962579921
45,225 ST,1953940394
31,18 AV,1946939187
8,121 ST,1946311165
135,B'WAY-LAFAYETTE,1928603510
72,47-50 STS ROCK,1925829895
241,HIGH ST,1915934055
353,TIMES SQ-42 ST,1891101745
9,125 ST,1863068155
88,61 ST WOODSIDE,1843771080
67,42 ST-BRYANT PK,1834203374
10,135 ST,1828876377
23,167 ST,1827866929
35,183 ST,1781790568
218,FORDHAM RD,1762428786
250,JACKSON AV,1762067439
271,LEXINGTON AV/63,1757901102
173,CANAL ST,1722625870
21,161/YANKEE STAD,1711721648
3,104 ST,1681050263
289,MYRTLE-WYCKOFF,1664802573
226,FULTON ST,1662551390
211,ELMHURST AV,1624510434
33,181 ST,1610418813
375,WORLD TRADE CTR,1580171665
61,34 ST-PENN STA,1569916274
324,PROSPECT PARK,1569404142
138,BAY RIDGE AV,1560477927
174,CANARSIE-ROCKAW,1560335842
208,EASTCHSTER/DYRE,1559807093
270,LEXINGTON AV/53,1476938102
34,182-183 STS,1475181684
36,190 ST,1441542729
86,59 ST COLUMBUS,1398518590
215,FLATBUSH AV-B.C,1383110353
236,GUN HILL RD,1359821374
133,AVENUE U,1325333385
55,3 AV-149 ST,1309275342
251,JAMAICA 179 ST,1291015312
159,BOWLING GREEN,1289818314
233,GRD CNTRL-42 ST,1254630543
59,34 ST-HERALD SQ,1253846890
87,6 AV,1208909703
232,GRANT AV,1208892577
252,JAMAICA CENTER,1205603810
247,HUNTS POINT AV,1191103372
114,90 ST-ELMHURST,1189019447
131,AVENUE N,1179301055
52,28 ST,1174478619
7,116 ST-COLUMBIA,1160336106
344,ST. GEORGE,1129226492
209,EASTN PKWY-MUSM,1124135799
192,CORTLANDT ST,1058665572
85,59 ST,1040931990
